Frame,integer_motion2,integer_motion,integer_adm2,integer_adm_scale0,integer_adm_scale1,integer_adm_scale2,integer_adm_scale3,integer_vif_scale0,integer_vif_scale1,integer_vif_scale2,integer_vif_scale3,vmaf,
159,1.854404,2.315704,0.944500,0.901616,0.896182,0.946395,0.977906,0.637913,0.918718,0.958223,0.975521,83.898078,
160,1.854404,1.854404,0.942418,0.895939,0.894808,0.947576,0.974438,0.624520,0.913981,0.955285,0.973323,83.166505,
161,2.554453,2.554453,0.962239,0.917817,0.934772,0.968708,0.983507,0.657411,0.940738,0.970792,0.982451,89.692256,
162,3.196409,3.196409,0.944071,0.897704,0.901821,0.945917,0.976081,0.633198,0.912988,0.954300,0.972352,85.032196,
163,3.272586,3.344857,0.939992,0.891322,0.892889,0.943834,0.973712,0.613929,0.906340,0.950605,0.969976,83.920058,
164,3.185335,3.272586,0.942763,0.894781,0.897657,0.946643,0.974981,0.617745,0.907781,0.951427,0.970314,84.465489,
165,2.677235,3.185335,0.960907,0.912183,0.932306,0.967646,0.983643,0.644974,0.936818,0.968867,0.980946,89.354396,
166,2.067848,2.677235,0.940004,0.888403,0.894987,0.945092,0.972707,0.610082,0.907399,0.951402,0.970077,82.506899,
167,2.067848,2.067848,0.940728,0.891513,0.895035,0.944789,0.973381,0.617337,0.907454,0.950669,0.969380,82.564831,
168,2.586491,2.586491,0.944805,0.894882,0.902161,0.947798,0.976700,0.620937,0.909690,0.951963,0.969933,84.165225,
169,2.322193,3.023401,0.960633,0.911106,0.931023,0.967146,0.983971,0.633848,0.933859,0.966461,0.978772,88.583061,
170,2.322193,2.322193,0.944770,0.894609,0.903380,0.946463,0.977091,0.620030,0.908478,0.951630,0.970162,83.838118,
171,3.230788,3.230788,0.944653,0.895368,0.900918,0.947749,0.976585,0.620632,0.907775,0.951144,0.970107,84.893194,
172,3.015806,3.237907,0.941124,0.894434,0.895628,0.944383,0.973030,0.607825,0.904569,0.949643,0.969169,83.752707,
173,3.015806,3.015806,0.960458,0.912835,0.930785,0.967048,0.983172,0.640499,0.935629,0.967980,0.980110,89.570740,
174,2.192676,3.059392,0.941937,0.889881,0.900341,0.945030,0.974220,0.614015,0.906688,0.950837,0.970211,83.051646,
175,2.192676,2.192676,0.939782,0.886336,0.892012,0.945077,0.973841,0.604230,0.904804,0.949771,0.968927,82.458993,
176,2.187973,2.412535,0.944069,0.898043,0.898624,0.948813,0.974982,0.617062,0.909470,0.952845,0.971151,83.658490,
177,1.545788,2.187973,0.959458,0.912608,0.929290,0.965617,0.982698,0.641719,0.935743,0.968593,0.980890,87.620297,
178,1.396137,1.545788,0.946211,0.898059,0.902636,0.950985,0.977315,0.618618,0.915132,0.956361,0.973487,83.479771,
179,1.396137,1.396137,0.947795,0.904441,0.904447,0.951246,0.978132,0.630775,0.918036,0.957919,0.974359,83.938705,
180,1.126259,1.441018,0.950349,0.906710,0.914929,0.953374,0.977464,0.635456,0.922702,0.960762,0.976171,84.413781,
181,1.081478,1.126259,0.958726,0.914370,0.928170,0.963892,0.982160,0.638048,0.933779,0.967546,0.980402,86.797753,
182,1.064335,1.081478,0.954471,0.915329,0.918585,0.958070,0.979758,0.644913,0.928384,0.964317,0.978642,85.563499,
183,0.843543,1.064335,0.950329,0.915476,0.906067,0.953942,0.978289,0.641107,0.924071,0.961949,0.977265,84.186911,
184,0.843543,0.843543,0.946020,0.904824,0.898779,0.949379,0.977578,0.625980,0.919253,0.959495,0.975824,83.064747,
185,1.281746,1.281746,0.960017,0.913704,0.933144,0.965565,0.981918,0.644184,0.934391,0.968029,0.981135,87.398115,
186,1.666162,1.692417,0.945979,0.901513,0.902150,0.948184,0.977854,0.636589,0.922717,0.961437,0.977589,84.290289,
187,1.666162,1.666162,0.959805,0.909501,0.932588,0.965482,0.983443,0.629290,0.934424,0.967533,0.980466,87.778379,
188,0.382636,39.992443,0.997115,0.986480,0.996305,0.999006,0.999341,0.881692,0.994326,0.997779,0.998826,97.067685,
189,0.382636,0.382636,0.993031,0.921392,0.983196,1.010966,1.006150,0.644865,0.948042,0.983926,0.997536,95.415305,
190,0.298166,0.572690,0.992931,0.973335,0.988319,0.995674,0.998987,0.748615,0.975393,0.988270,0.993547,95.153451,
191,0.298166,0.298166,0.994110,0.976075,0.990663,0.996471,0.999429,0.763509,0.982205,0.992791,0.996378,95.858158,
192,0.312886,0.339068,0.998036,0.986733,0.996766,1.000393,1.000322,0.846437,0.991283,0.997383,0.999229,97.175820,
193,0.312886,0.312886,0.996337,0.983226,0.993616,0.998807,0.999766,0.801366,0.979398,0.990981,0.995765,96.198569,
194,0.365760,0.365760,0.995808,0.981420,0.992751,0.998218,0.999818,0.788367,0.975880,0.988870,0.994659,95.961551,
195,0.340839,0.386707,0.994769,0.979481,0.991247,0.997369,0.999111,0.762967,0.971139,0.986519,0.993174,95.473265,
196,0.340839,0.340839,0.994835,0.979554,0.991415,0.997123,0.999341,0.771681,0.979179,0.991346,0.995684,95.933268,
197,0.349519,0.391229,0.994049,0.979047,0.989937,0.996202,0.998879,0.764349,0.972866,0.987310,0.993463,95.393050,
198,0.349519,0.349519,0.993894,0.978285,0.989973,0.996170,0.998726,0.757057,0.970406,0.985947,0.993109,95.264848,
199,0.350252,0.350252,0.994447,0.978265,0.990750,0.996586,0.999465,0.758746,0.972780,0.987641,0.993688,95.516562,
200,0.319420,0.380037,0.995104,0.979021,0.991546,0.997550,0.999839,0.766199,0.979819,0.992002,0.996360,96.053284,
201,0.319420,0.319420,0.993873,0.978220,0.990276,0.996265,0.998540,0.757624,0.973482,0.988052,0.994124,95.408005,
202,0.328607,0.328607,0.994074,0.978051,0.990787,0.996095,0.998978,0.760216,0.974124,0.988648,0.994994,95.561128,
203,0.316625,0.369469,0.994197,0.978112,0.990162,0.996290,0.999399,0.758496,0.975244,0.989162,0.994595,95.568814,
204,0.316625,0.316625,0.994818,0.978146,0.990964,0.996891,1.000100,0.755615,0.978682,0.991606,0.996093,95.950055,
205,0.325121,0.325121,0.993703,0.977104,0.989750,0.995265,0.999367,0.750533,0.972915,0.988191,0.994360,95.406461,
206,0.304465,0.373510,0.993794,0.976819,0.989384,0.995528,0.999652,0.749094,0.971805,0.987620,0.994187,95.355960,
